2020綜合排名,2020排名,2019排名,公司名稱,公司住址,公司E-mail,公司負責人,公司負責人E-amil,"公司(高階主管, ex.總經理)",高階主管E-amil,MIS主管,MIS主管E-amil,MIS員工,MIS員工E-amil,IT系統名稱,AI應用工具, 備註:(其他)
1,1,1,鴻海精密工業,,,,,,,,,,,,,
2,2,2,和碩聯合科技,,,,,,,,,,,,,
3,3,3,台灣積體電路製造,,,,,,,,,,,,,
4,4,4,廣達電腦,,,,,,,,,,,,,
5,5,6,仁寶電腦工業,,,,,,,,,,,,,
6,1,1,國泰人壽保險,,,,,,,,,,,,,
7,6,7,緯創資通,,,,,,,,,,,,,
8,2,2,富邦人壽保險,,,,,,,,,,,,,
9,7,5,台灣中油,,,,,,,,,,,,,
10,1,2,大聯大投資控股,,,,,,,,,,,,,
11,2,1,台灣電力,,,,,,,,,,,,,
12,3,3,南山人壽保險,,,,,,,,,,,,,
13,8,9,英業達,,,,,,,,,,,,,
14,9,11,日月光投資控股,,,,,,,,,,,,,
15,10,10,統一企業,,,,,,,,,,,,,
16,11,8,台塑石化,,,,,,,,,,,,,
17,4,4,新光人壽保險,,,,,,,,,,,,,
18,3,3,華碩電腦,,,,,,,,,,,,,
19,4,5,文曄科技,,,,,,,,,,,,,
20,5,4,聯強國際,,,,,,,,,,,,,
21,5,5,中國人壽保險,,,,,,,,,,,,,
22,12,21,聯發科技,,,,,,,,,,,,,
23,6,6,世平興業,,,,,,,,,,,,,
24,13,12,中國鋼鐵,,,,,,,,,,,,,
25,6,7,中華郵政,,,,,,,,,,,,,
26,14,18,康師傅控股,,,,,,,,,,,,,
27,7,6,台灣人壽保險,,,,,,,,,,,,,
28,15,17,台達電子工業,,,,,,,,,,,,,
29,7,8,宏碁,,,,,,,,,,,,,
30,16,15,南亞塑膠工業,,,,,,,,,,,,,
31,17,16,友達光電,,,,,,,,,,,,,
32,18,19,群創光電,,,,,,,,,,,,,
33,8,7,統一超商,,,,,,,,,,,,,
34,19,13,台灣化學纖維,,,,,,,,,,,,,
35,20,14,寶成工業,,,,,,,,,,,,,
36,9,10,和泰汽車,,,,,,,,,,,,,
37,10,9,三商投資控股,,,,,,,,,,,,,
38,11,11,中華電信,,,,,,,,,,,,,
39,12,12,長榮海運,,,,,,,,,,,,,
40,21,20,遠東新世紀,,,,,,,,,,,,,
41,22,25,環電,,,,,,,,,,,,,
42,23,24,佳世達科技,,,,,,,,,,,,,
43,24,27,緯穎科技服務,,,,,,,,,,,,,
44,25,22,台灣塑膠工業,,,,,,,,,,,,,
45,26,26,日月光半導體製造,,,,,,,,,,,,,
46,27,28,聯華電子,,,,,,,,,,,,,
47,8,8,三商美邦人壽保險,,,,,,,,,,,,,
48,28,23,光寶科技,,,,,,,,,,,,,
49,13,15,陽明海運,,,,,,,,,,,,,
50,29,34,微星科技,,,,,,,,,,,,,
51,14,16,全聯實業,,,,,,,,,,,,,
52,15,18,至上電子,,,,,,,,,,,,,
53,9,9,全球人壽保險,,,,,,,,,,,,,
54,16,17,台灣大哥大,,,,,,,,,,,,,
55,30,35,臻鼎科技控股,,,,,,,,,,,,,
56,31,29,金寶電子工業,,,,,,,,,,,,,
57,32,36,GIS HOLDING,,,,,,,,,,,,,
58,10,10,中國信託商業銀行,,,,,,,,,,,,,
59,33,31,奇美實業,,,,,,,,,,,,,
60,17,14,中華航空,,,,,,,,,,,,,
61,34,30,TPK HOLDING,,,,,,,,,,,,,
62,35,33,台灣水泥,,,,,,,,,,,,,
63,36,32,華新麗華,,,,,,,,,,,,,
64,18,19,益登科技,,,,,,,,,,,,,
65,37,40,鴻準精密工業,,,,,,,,,,,,,
66,38,46,矽品精密工業,,,,,,,,,,,,,
67,39,38,長春人造樹脂廠,,,,,,,,,,,,,
68,40,39,長春石油化學,,,,,,,,,,,,,
69,41,37,正新橡膠工業,,,,,,,,,,,,,
70,11,11,遠雄人壽保險事業,,,,,,,,,,,,,
